method,dataset,rmse_h_deg,rmse_v_deg,mae_h_deg,mae_v_deg,fixation_mae_h_deg,fixation_mae_v_deg,f1_weighted,notes
Baseline: majority class,Dataset 2 only,,,,,,,0.33355674110035816,Always predicts the train fold's most frequent class
Baseline: train-fold mean angle,Dataset 2 only,14.072630357218172,7.996417674038531,12.103734016418457,6.85066032409668,,,,Always predicts the train fold's mean H/V angle
Classical ML (SVC) — classification,Dataset 2 only,,,,,,,0.7031897690945659,
Classical ML (RF) — classification,Dataset 2 only,,,,,,,0.7148945174202187,
Classical ML (SVR) — regression,Dataset 2 only,11.754268452772077,7.246458234839548,9.529308165620948,5.995948157709735,,,,
Classical ML (XGB) — regression,Dataset 2 only,11.534871181501254,7.148433497693552,9.376080513000488,5.917301177978516,,,,
Deep multi-task (conv_bilstm / EOGConvLSTMNet),Dataset 2 only,11.406853981226526,7.203957201367236,9.160462379455566,5.949977397918701,,,0.7012792266521685,Multi-task: classification + regression jointly
Published: Barbara_2023_DKF_short,Dataset 2,,,,,1.64,1.97,,BSPC 86 (2023) Table 2: ±0.82 / ±0.34; within-subject; mistake-free segments; 6.85% outliers excluded
Published: Barbara_2023_DKF_long,Dataset 2,,,,,5.23,6.59,,BSPC 86 (2023) Table 3: ±2.00 / ±3.10; within-subject; 5.83% outlier segments excluded
Published: Barbara_2019_differencing_short,Dataset 2,,,,,1.51,1.95,,BSPC 86 (2023) Table 2 state of the art: ±0.55 / ±0.29; same protocol as DKF short
Published: Barbara_2019_differencing_long,Dataset 2,,,,,5.82,8.04,,BSPC 86 (2023) Table 3 state of the art: ±2.70 / ±2.96; same protocol as DKF long
